<DATE>;<BALANCE>
23/09/2018;6708.0
24/09/2018;6581.39
25/09/2018;6447.54
26/09/2018;6465.12
27/09/2018;6689.13
28/09/2018;6634.58
29/09/2018;6596.38
30/09/2018;6626.57
01/10/2018;6611.61
02/10/2018;6525.79
03/10/2018;6510.0
04/10/2018;6593.79
05/10/2018;6635.65
06/10/2018;6594.27
07/10/2018;6615.26
08/10/2018;6673.01
09/10/2018;6656.61
10/10/2018;6631.0
11/10/2018;6252.68
12/10/2018;6298.01
13/10/2018;6332.93
14/10/2018;6339.34
15/10/2018;6752.5
16/10/2018;6759.27
17/10/2018;6740.89
18/10/2018;6618.96
19/10/2018;6528.88
20/10/2018;6588.4
21/10/2018;6590.11
22/10/2018;6581.2
23/10/2018;6553.51
24/10/2018;6565.5
25/10/2018;6528.09
26/10/2018;6538.63
27/10/2018;6505.6
28/10/2018;6489.93
29/10/2018;6344.5
30/10/2018;6330.87
31/10/2018;6371.93
01/11/2018;6410.0
02/11/2018;6433.98
03/11/2018;6387.09
04/11/2018;6485.85
05/11/2018;6468.99
06/11/2018;6519.11
07/11/2018;6578.46
08/11/2018;6479.84
09/11/2018;6419.99
10/11/2018;6433.05
11/11/2018;6449.81
12/11/2018;6453.07
13/11/2018;6457.66
14/11/2018;5922.41
15/11/2018;5753.4
16/11/2018;5655.94
17/11/2018;5628.29
18/11/2018;5662.0
19/11/2018;4910.03
20/11/2018;4558.86
21/11/2018;4661.07
22/11/2018;4370.0
23/11/2018;4420.61
24/11/2018;3932.44
25/11/2018;4085.78
26/11/2018;3862.2
27/11/2018;3875.21
28/11/2018;4264.85
29/11/2018;4295.84
30/11/2018;4041.32
01/12/2018;4190.02
02/12/2018;4161.01
03/12/2018;3884.01
04/12/2018;3951.64
05/12/2018;3769.84
06/12/2018;3508.75
07/12/2018;3403.55
08/12/2018;3410.93
09/12/2018;3545.37
10/12/2018;3432.88
11/12/2018;3380.39
12/12/2018;3445.0
13/12/2018;3302.06
14/12/2018;3224.17
15/12/2018;3211.72
16/12/2018;3228.67
17/12/2018;3509.08
18/12/2018;3652.98
19/12/2018;3662.22
20/12/2018;4049.62
21/12/2018;3838.66
22/12/2018;3948.91
23/12/2018;3929.71
24/12/2018;4008.01
25/12/2018;3745.79
26/12/2018;3777.74
27/12/2018;3567.91
28/12/2018;3839.26
29/12/2018;3695.32
30/12/2018;3801.91
31/12/2018;3702.9
01/01/2019;3797.14
02/01/2019;3858.56
03/01/2019;3766.78
04/01/2019;3792.01
05/01/2019;3770.96
06/01/2019;3987.6
07/01/2019;3975.45
08/01/2019;3955.13
09/01/2019;3966.65
10/01/2019;3585.88
11/01/2019;3601.31
12/01/2019;3583.13
13/01/2019;3476.81
14/01/2019;3626.09
15/01/2019;3553.06
16/01/2019;3591.84
17/01/2019;3616.21
18/01/2019;3594.87
19/01/2019;3665.3
20/01/2019;3539.28
21/01/2019;3526.9
22/01/2019;3570.93
23/01/2019;3552.82
24/01/2019;3569.62
25/01/2019;3565.29
26/01/2019;3565.25
27/01/2019;3550.84
28/01/2019;3434.15
29/01/2019;3411.04
30/01/2019;3458.18
31/01/2019;3434.1
01/02/2019;3462.07
02/02/2019;3504.77
03/02/2019;3458.11
04/02/2019;3463.22
05/02/2019;3471.59
06/02/2019;3405.37
07/02/2019;3398.4
08/02/2019;3659.04
09/02/2019;3665.18
10/02/2019;3680.06
11/02/2019;3631.05
12/02/2019;3631.46
13/02/2019;3609.4
14/02/2019;3590.56
15/02/2019;3602.47
16/02/2019;3618.41
17/02/2019;3667.58
18/02/2019;3898.6
19/02/2019;3907.79
20/02/2019;3969.74
21/02/2019;3937.31
22/02/2019;3962.0
23/02/2019;4117.76
24/02/2019;3743.56
25/02/2019;3827.92
26/02/2019;3809.23
27/02/2019;3818.07
28/02/2019;3813.69
01/03/2019;3823.0
02/03/2019;3819.93
03/03/2019;3807.75
04/03/2019;3715.3
05/03/2019;3857.73
06/03/2019;3861.84
07/03/2019;3873.64
08/03/2019;3864.89
09/03/2019;3943.04
10/03/2019;3916.82
11/03/2019;3871.61
12/03/2019;3882.73
13/03/2019;3866.0
14/03/2019;3877.12
15/03/2019;3923.76
16/03/2019;4005.98
17/03/2019;3981.14
18/03/2019;3987.81
19/03/2019;4015.53
20/03/2019;4043.04
21/03/2019;3980.64
22/03/2019;3986.93
23/03/2019;4006.01
24/03/2019;3992.18
25/03/2019;3936.12
26/03/2019;3948.55
27/03/2019;4038.05
28/03/2019;4027.81
29/03/2019;4103.25
30/03/2019;4106.97
31/03/2019;4103.95
01/04/2019;4144.56
02/04/2019;4857.29
03/04/2019;4932.6
04/04/2019;4898.66
05/04/2019;5004.95
06/04/2019;5043.89
07/04/2019;5170.27
08/04/2019;5236.9
09/04/2019;5150.0
10/04/2019;5308.25
11/04/2019;5017.37
12/04/2019;5048.01
13/04/2019;5045.22
14/04/2019;5131.3
15/04/2019;5024.95
16/04/2019;5173.72
17/04/2019;5202.82
18/04/2019;5258.44
19/04/2019;5258.68
20/04/2019;5291.73
21/04/2019;5256.14
22/04/2019;5357.14
23/04/2019;5493.31
24/04/2019;5415.0
25/04/2019;5219.9
26/04/2019;5314.1
27/04/2019;5295.69
28/04/2019;5307.52
29/04/2019;5238.14
30/04/2019;5320.81
01/05/2019;5383.2
02/05/2019;5492.87
03/05/2019;5772.69
04/05/2019;5829.45
05/05/2019;5775.62
06/05/2019;5747.79
07/05/2019;5846.34
08/05/2019;5987.29
09/05/2019;6209.18
10/05/2019;6373.33
11/05/2019;7076.22
12/05/2019;6967.31
13/05/2019;7790.71
14/05/2019;7947.56
15/05/2019;8169.87
16/05/2019;7866.59
17/05/2019;7355.26
18/05/2019;7257.45
19/05/2019;8148.48
20/05/2019;7938.15
21/05/2019;7904.87
22/05/2019;7628.43
23/05/2019;7851.51
24/05/2019;7964.87
25/05/2019;8025.41
26/05/2019;8614.43
27/05/2019;8756.32
28/05/2019;8715.64
29/05/2019;8645.68
30/05/2019;8269.54
31/05/2019;8555.0
01/06/2019;8544.07
02/06/2019;8725.98
03/06/2019;8115.82
04/06/2019;7687.03
05/06/2019;7776.5
06/06/2019;7786.7
07/06/2019;7980.53
08/06/2019;7893.62
09/06/2019;7628.13
10/06/2019;7982.75
11/06/2019;7884.9
12/06/2019;8127.64
13/06/2019;8218.54
14/06/2019;8650.0
15/06/2019;8808.7
16/06/2019;8953.33
17/06/2019;9313.96
18/06/2019;9081.55
19/06/2019;9255.49
